Row Labels_3,goal_3,zone_entry_3,zone_exit_3,Grand Total_3
2,0,0,1,1
5,3,4,2,9
6,2,1,3,6
7,3,2,7,12
8,0,1,1,2
9,1,0,3,4
10,1,0,1,2
11,0,1,3,4
12,3,4,13,20
13,3,0,2,5
14,2,2,3,7
16,8,0,9,17
17,2,14,69,85
18,1,7,21,29
19,0,0,13,13
20,2,14,41,57
21,0,3,17,20
22,1,4,18,23
23,1,2,22,25
24,6,23,97,126
25,2,5,31,38
26,1,39,77,117
27,0,0,1,1
28,2,10,35,47
29,0,1,5,6
30,3,17,69,89
31,2,10,27,39
32,2,4,16,22
33,3,31,61,95
34,7,10,44,61
35,2,18,57,77
40,0,1,0,1
41,6,9,30,45
42,1,0,9,10
43,2,2,6,10
44,2,3,5,10
45,3,1,16,20
46,6,4,8,18
47,3,0,1,4
48,3,14,54,71
49,2,13,52,67
50,3,30,60,93
51,4,41,71,116
52,3,6,27,36
54,0,1,3,4
55,4,9,45,58
56,2,9,34,45
57,7,17,54,78
58,3,23,67,93
59,3,46,84,133
60,7,12,52,71
61,0,3,8,11
62,11,13,52,76
63,3,16,74,93
69,1,0,2,3
70,3,2,8,13
71,1,1,0,2
72,3,1,16,20
73,4,1,9,14
74,0,0,2,2
75,7,3,11,21
76,6,7,14,27
77,1,0,0,1
78,3,0,4,7
79,1,5,23,29
80,0,1,0,1
81,1,7,52,60
82,4,14,77,95
83,2,20,54,76
84,1,0,3,4
85,3,17,85,105
87,1,14,65,80
88,7,9,50,66
89,0,5,20,25
90,0,1,1,2
91,2,13,49,64
92,2,11,40,53
93,0,1,5,6
94,0,13,52,65
95,2,7,27,36
96,0,6,35,41
97,4,20,84,108
98,10,22,59,91
99,0,2,4,6
100,2,2,13,17
103,0,0,1,1
106,2,3,9,14
107,1,0,3,4
109,4,1,1,6
110,3,4,9,16
111,5,3,5,13
112,0,0,1,1
113,0,0,5,5
114,1,0,0,1
115,3,7,15,25
116,8,6,17,31
117,1,21,44,66
118,0,0,1,1
120,2,17,59,78
121,0,17,56,73
122,0,5,14,19
123,2,19,63,84
124,0,7,49,56
125,1,6,44,51
126,0,6,39,45
127,1,4,32,37
128,3,6,49,58
129,8,15,67,90
130,1,2,10,13
131,4,24,73,101
132,0,0,3,3
133,4,15,33,52
134,1,10,23,34
135,2,11,25,38
139,2,1,10,13
140,2,2,7,11
141,8,1,25,34
142,2,1,7,10
143,0,1,0,1
144,3,0,4,7
145,7,5,16,28
147,1,0,2,3
148,4,2,12,18
149,1,0,0,1
150,0,4,23,27
151,4,26,105,135
152,1,2,37,40
153,7,16,91,114
154,6,22,77,105
155,2,8,43,53
157,4,10,39,53
158,5,15,61,81
159,1,2,11,14
160,2,9,52,63
161,2,5,48,55
162,3,7,34,44
163,7,23,66,96
164,3,14,79,96
165,5,23,49,77
166,1,13,52,66
167,1,0,0,1
170,3,8,36,47
171,0,1,7,8
173,1,1,1,3
174,4,0,2,6
175,0,1,5,6
176,1,1,2,4
177,1,0,0,1
178,3,2,5,10
179,1,1,2,4
180,4,0,10,14
181,1,0,2,3
182,4,14,57,75
183,1,3,12,16
184,1,11,42,54
185,0,4,11,15
186,0,0,8,8
187,3,20,63,86
188,5,13,51,69
189,1,6,37,44
191,2,15,54,71
192,2,17,62,81
193,1,1,16,18
194,0,2,10,12
195,0,0,1,1
196,0,5,14,19
197,0,0,14,14
198,0,3,27,30
199,0,4,8,12
200,1,9,37,47
201,1,5,38,44
202,2,8,14,24
203,1,5,18,24
204,0,1,5,6
205,2,7,27,36
206,1,14,27,42
207,1,0,0,1
212,1,0,0,1
213,4,3,14,21
214,1,3,10,14
215,1,0,0,1
216,7,2,16,25
217,1,1,8,10
218,3,1,10,14
219,0,0,1,1
220,1,2,10,13
221,1,3,9,13
222,2,3,10,15
223,0,0,4,4
224,0,11,69,80
225,0,5,11,16
226,2,14,51,67
227,1,4,11,16
228,3,2,23,28
229,6,19,62,87
230,1,9,56,66
231,3,14,57,74
232,3,20,75,98
233,0,8,24,32
234,2,7,60,69
235,1,4,19,24
236,3,14,48,65
237,3,11,56,70
238,0,1,13,14
239,0,5,24,29
240,5,17,49,71
241,1,0,0,1
244,3,0,6,9
245,0,0,3,3
246,1,0,15,16
247,3,0,6,9
248,1,1,10,12
249,0,0,7,7
250,6,4,6,16
251,4,1,10,15
252,2,5,12,19
253,2,3,8,13
254,0,1,5,6
255,4,8,42,54
256,5,17,57,79
257,5,15,46,66
258,1,11,25,37
259,2,6,29,37
260,3,17,65,85
261,4,26,77,107
262,3,16,69,88
263,1,5,27,33
264,3,5,21,29
265,0,0,2,2
266,2,9,22,33
267,0,0,5,5
268,0,0,1,1
269,2,17,47,66
270,0,0,2,2
271,5,12,62,79
272,4,6,64,74
273,1,15,51,67
276,1,0,0,1
278,2,1,4,7
279,2,0,3,5
280,2,0,3,5
281,1,2,5,8
282,1,1,2,4
283,1,0,3,4
284,1,5,11,17
285,0,0,2,2
286,6,3,11,20
287,2,0,8,10
289,5,16,57,78
290,3,4,22,29
291,4,11,43,58
292,0,2,19,21
293,4,9,95,108
294,1,3,22,26
295,0,4,20,24
296,0,3,4,7
297,0,6,25,31
298,1,8,50,59
299,0,9,17,26
300,4,17,57,78
301,7,24,68,99
302,0,11,55,66
303,4,8,79,91
304,0,0,2,2
305,1,11,37,49
306,0,13,63,76
307,0,0,2,2
308,0,5,28,33
313,5,0,2,7
314,1,2,4,7
315,1,0,1,2
316,4,2,6,12
317,0,0,4,4
318,4,3,6,13
319,1,0,3,4
320,1,0,5,6
321,0,0,1,1
322,1,0,2,3
324,3,5,43,51
325,2,11,64,77
326,1,10,54,65
327,0,1,7,8
328,0,1,3,4
329,0,1,9,10
330,5,15,54,74
331,1,14,42,57
332,2,9,67,78
333,4,6,76,86
335,0,8,39,47
336,2,9,42,53
337,0,1,4,5
338,0,9,38,47
339,0,15,48,63
340,0,14,23,37
341,0,1,3,4
342,0,0,9,9
343,2,19,73,94
344,6,16,60,82
345,1,2,40,43
352,0,1,1,2
353,1,1,16,18
354,0,2,6,8
355,0,1,1,2
356,0,0,1,1
357,0,1,13,14
358,6,2,6,14
359,2,0,0,2
360,2,2,8,12
361,0,0,1,1
362,5,1,8,14
364,4,18,62,84
365,0,7,50,57
366,1,8,41,50
367,0,6,35,41
368,4,1,12,17
369,0,0,7,7
370,5,18,61,84
371,1,12,35,48
372,0,4,18,22
373,4,6,41,51
374,1,10,25,36
375,1,2,3,6
377,0,4,9,13
378,4,11,28,43
379,0,1,2,3
380,0,11,69,80
381,0,5,17,22
382,0,4,6,10
383,3,17,75,95
384,0,7,56,63
385,3,7,31,41
393,0,0,1,1
394,2,2,10,14
395,1,0,1,2
396,0,0,1,1
397,2,1,8,11
398,2,3,13,18
399,1,2,5,8
400,0,2,3,5
401,6,1,10,17
403,1,2,11,14
404,1,0,1,2
405,0,3,9,12
406,1,1,16,18
407,2,3,17,22
408,1,0,6,7
409,0,1,10,11
410,2,31,63,96
411,1,2,15,18
412,2,8,43,53
413,2,3,8,13
414,2,24,58,84
415,6,7,49,62
416,1,10,6,17
417,9,16,46,71
418,0,3,6,9
419,2,13,34,49
420,0,1,10,11
421,1,5,24,30
422,1,5,29,35
423,3,44,51,98
424,0,13,49,62
425,0,2,3,5
426,0,15,53,68
430,2,0,0,2
431,0,0,1,1
432,2,2,9,13
433,0,1,0,1
435,1,1,8,10
437,2,2,6,10
438,2,3,9,14
439,0,0,6,6
440,5,3,13,21
441,1,2,6,9
442,4,16,51,71
443,1,20,72,93
444,1,24,55,80
445,1,1,5,7
446,1,4,40,45
447,0,8,20,28
448,0,0,4,4
449,1,4,22,27
450,0,4,17,21
452,5,14,89,108
453,2,19,58,79
454,4,9,54,67
455,1,10,38,49
456,1,17,51,69
457,5,23,62,90
458,0,2,10,12
459,1,9,18,28
460,3,21,75,99
464,1,1,10,12
466,1,1,1,3
467,2,0,3,5
468,0,0,2,2
469,4,1,4,9
470,1,1,1,3
472,0,0,1,1
473,2,2,13,17
475,2,1,3,6
476,1,0,15,16
477,2,15,52,69
478,1,20,57,78
479,0,5,13,18
480,1,3,11,15
481,2,12,52,66
482,1,9,40,50
483,0,2,14,16
484,1,3,13,17
485,0,0,2,2
486,1,1,10,12
487,0,1,8,9
488,0,7,18,25
489,1,0,8,9
490,1,3,33,37
491,3,11,40,54
492,4,16,50,70
493,3,18,60,81
494,7,32,80,119
495,1,4,17,22
496,1,10,30,41
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
x,0,0,0,0
Grand Total,813,2832,10994,14639
